       JobID    JobName  Partition    Account  AllocCPUS      State ExitCode 
5844491_4    ex3_array+       defq sccs-dna-+          1  COMPLETED      0:0 
5844491_4.b+      batch            sccs-dna-+          1  COMPLETED      0:0 
5844491_5    ex3_array+       defq sccs-dna-+          1  COMPLETED      0:0 
5844491_5.b+      batch            sccs-dna-+          1  COMPLETED      0:0 
5844491_6    ex3_array+       defq sccs-dna-+          1  COMPLETED      0:0 
5844491_6.b+      batch            sccs-dna-+          1  COMPLETED      0:0 
5844491_7    ex3_array+       defq sccs-dna-+          1  COMPLETED      0:0 
5844491_7.b+      batch            sccs-dna-+          1  COMPLETED      0:0 
5844491_8    ex3_array+       defq sccs-dna-+          1  COMPLETED      0:0 
5844491_8.b+      batch            sccs-dna-+          1  COMPLETED      0:0 
5844491_9    ex3_array+       defq sccs-dna-+          1  COMPLETED      0:0 
5844491_9.b+      batch            sccs-dna-+          1  COMPLETED      0:0 
5844491_10   ex3_array+       defq sccs-dna-+          1  COMPLETED      0:0 
5844491_10.+      batch            sccs-dna-+          1  COMPLETED      0:0 
5844501             ex4       defq sccs-dna-+          2  COMPLETED      0:0 
5844501.bat+      batch            sccs-dna-+          2  COMPLETED      0:0 
5844502            ex4A       defq sccs-dna-+          3  COMPLETED      0:0 
5844502.bat+      batch            sccs-dna-+          3  COMPLETED      0:0 
5844503            ex4B       defq sccs-dna-+          3     FAILED      1:0 
5844503.bat+      batch            sccs-dna-+          3     FAILED      1:0 
5844504       ex1.slurm       defq sccs-dna-+          1  COMPLETED      0:0 
5844504.bat+      batch            sccs-dna-+          1  COMPLETED      0:0 
5844505      allocation       defq sccs-dna-+          1  COMPLETED      0:0 
5844505.bat+      batch            sccs-dna-+          1  COMPLETED      0:0 
5844506_11   ex3_array+       defq sccs-dna-+          1  COMPLETED      0:0 
5844506_11.+      batch            sccs-dna-+          1  COMPLETED      0:0 
5844506_2    ex3_array+       defq sccs-dna-+          1  COMPLETED      0:0 
5844506_2.b+      batch            sccs-dna-+          1  COMPLETED      0:0 
5844506_3    ex3_array+       defq sccs-dna-+          1  COMPLETED      0:0 
5844506_3.b+      batch            sccs-dna-+          1  COMPLETED      0:0 
5844506_4    ex3_array+       defq sccs-dna-+          1  COMPLETED      0:0 
5844506_4.b+      batch            sccs-dna-+          1  COMPLETED      0:0 
5844506_5    ex3_array+       defq sccs-dna-+          1  COMPLETED      0:0 
5844506_5.b+      batch            sccs-dna-+          1  COMPLETED      0:0 
5844506_6    ex3_array+       defq sccs-dna-+          1  COMPLETED      0:0 
5844506_6.b+      batch            sccs-dna-+          1  COMPLETED      0:0 
5844506_7    ex3_array+       defq sccs-dna-+          1  COMPLETED      0:0 
5844506_7.b+      batch            sccs-dna-+          1  COMPLETED      0:0 
5844506_8    ex3_array+       defq sccs-dna-+          1  COMPLETED      0:0 
5844506_8.b+      batch            sccs-dna-+          1  COMPLETED      0:0 
5844506_9    ex3_array+       defq sccs-dna-+          1  COMPLETED      0:0 
5844506_9.b+      batch            sccs-dna-+          1  COMPLETED      0:0 
5844506_10   ex3_array+       defq sccs-dna-+          1  COMPLETED      0:0 
5844506_10.+      batch            sccs-dna-+          1  COMPLETED      0:0 
5844516             ex4       defq sccs-dna-+          2  COMPLETED      0:0 
5844516.bat+      batch            sccs-dna-+          2  COMPLETED      0:0 
5844517            ex4A       defq sccs-dna-+          3  COMPLETED      0:0 
5844517.bat+      batch            sccs-dna-+          3  COMPLETED      0:0 
5844518            ex4B       defq sccs-dna-+          3     FAILED      1:0 
5844518.bat+      batch            sccs-dna-+          3     FAILED      1:0 
5844519             ex5       defq sccs-dna-+          3 CANCELLED+      0:0 
5844519.bat+      batch            sccs-dna-+          3  CANCELLED     0:15 
5844520       ex6.slurm       defq sccs-dna-+          1     FAILED     11:0 
5844520.bat+      batch            sccs-dna-+          1     FAILED     11:0 
